Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,121.599998,125.349998,121.599998,124.050003,124.050003,152
2017-07-03,125.849998,128.649994,125.849998,126.550003,126.550003,75
2017-07-10,127.699997,131.699997,125.000000,131.699997,131.699997,16
2017-07-17,131.550003,136.850006,131.550003,136.550003,136.550003,50759
2017-07-24,135.550003,138.899994,129.350006,137.850006,137.850006,108536
2017-07-31,137.300003,141.550003,135.750000,140.149994,140.149994,98397
2017-08-07,139.699997,143.750000,136.850006,140.300003,140.300003,133383
2017-08-14,139.550003,139.850006,126.750000,128.050003,128.050003,73922
2017-08-21,128.449997,130.000000,125.500000,130.199997,130.199997,22072
2017-08-28,130.449997,131.000000,125.750000,127.750000,127.750000,217
2017-09-04,126.500000,129.399994,125.949997,129.399994,129.399994,19
2017-09-11,129.649994,140.149994,128.750000,140.000000,140.000000,32
2017-09-18,141.350006,141.350006,132.899994,134.449997,134.449997,83186
2017-09-25,133.649994,133.699997,127.250000,128.050003,128.050003,84548
2017-10-02,127.800003,130.699997,124.300003,130.000000,130.000000,96091
2017-10-09,131.000000,132.699997,125.400002,126.449997,126.449997,99071
2017-10-16,126.099998,128.050003,123.000000,125.250000,125.250000,88338
2017-10-23,125.099998,127.500000,122.849998,126.599998,126.599998,82469
2017-10-30,127.000000,127.750000,121.199997,123.949997,123.949997,131684
2017-11-06,123.949997,128.350006,122.250000,127.550003,127.550003,151831
2017-11-13,127.500000,129.000000,123.550003,123.800003,123.800003,101818
2017-11-20,122.500000,126.599998,121.150002,124.800003,124.800003,16904
2017-11-27,125.250000,130.300003,124.849998,127.550003,127.550003,158
2017-12-04,126.199997,127.250000,120.599998,120.599998,120.599998,525
2017-12-11,121.000000,121.000000,116.900002,116.949997,116.949997,29
2017-12-18,118.550003,124.050003,118.550003,120.400002,120.400002,81489
2017-12-25,120.750000,126.550003,120.650002,126.199997,126.199997,56663
