"Date","Price","Open","High","Low","Vol.","Change %"
"01/25/2015","161.90","162.20","169.90","158.70","77.42K","-0.34%"
"01/18/2015","162.45","170.10","172.50","159.40","65.25K","-5.00%"
"01/11/2015","171.00","181.25","184.90","170.40","91.63K","-5.03%"
"01/04/2015","180.05","160.95","183.85","160.10","105.14K","11.80%"
"12/28/2014","161.05","167.65","171.30","160.20","34.33K","-4.48%"
"12/21/2014","168.60","174.70","176.50","167.75","21.59K","-3.49%"
"12/14/2014","174.70","174.10","177.65","172.25","8.43K","0.98%"
"12/07/2014","173.00","177.05","178.50","174.00","0.01K","-3.41%"
"11/30/2014","179.10","187.55","188.25","177.80","0.15K","-4.04%"
"11/23/2014","186.65","190.50","196.20","186.40","0.29K","-1.58%"
"11/16/2014","189.65","192.00","199.75","186.00","22.58K","-1.22%"
"11/09/2014","192.00","182.40","193.40","181.10","100.17K","5.26%"
"11/02/2014","182.40","188.95","192.80","182.10","76.93K","-2.98%"
"10/26/2014","188.00","188.00","193.85","185.65","63.27K","-1.83%"
"10/19/2014","191.50","206.35","206.35","188.45","75.54K","-9.09%"
"10/12/2014","210.65","222.05","225.45","208.50","60.54K","-4.42%"
"10/05/2014","220.40","208.70","225.50","208.70","79.10K","6.73%"
"09/28/2014","206.50","185.55","213.75","185.20","84.40K","10.99%"
"09/21/2014","186.05","178.00","189.80","176.40","58.14K","4.52%"
"09/14/2014","178.00","179.35","182.85","176.40","15.24K","-0.92%"
"09/07/2014","179.65","192.30","192.30","176.20","0.08K","-6.84%"
"08/31/2014","192.85","200.10","204.70","192.10","0.05K","-1.48%"
"08/24/2014","195.75","182.35","197.70","180.55","0.27K","7.79%"
"08/17/2014","181.60","188.95","190.40","178.65","32.65K","-3.79%"
"08/10/2014","188.75","180.85","189.65","180.85","71.34K","4.37%"
"08/03/2014","180.85","192.05","195.45","179.40","96.18K","-5.98%"
"07/27/2014","192.35","179.80","207.40","178.00","83.24K","7.37%"
"07/20/2014","179.15","172.00","181.20","166.60","48.83K","4.95%"
"07/13/2014","170.70","163.80","164.95","163.80","0.01K","7.39%"
"07/06/2014","158.95","170.30","170.30","157.80","0.14K","-6.17%"
"06/29/2014","169.40","172.55","172.75","168.20","0.11K","-0.62%"
"06/22/2014","170.45","173.00","182.50","169.90","0.27K","-1.62%"
"06/15/2014","173.25","173.65","176.70","163.10","41.09K","-0.26%"
"06/08/2014","173.70","171.95","179.70","165.10","103.27K","0.93%"
"06/01/2014","172.10","177.25","179.35","167.35","68.50K","-3.04%"
"05/25/2014","177.50","181.50","182.95","170.80","54.29K","-2.42%"
"05/18/2014","181.90","183.90","186.40","176.70","43.35K","-0.33%"
"05/11/2014","182.50","182.40","194.25","180.95","0.05K","0.94%"
